warehouse_id,name,city,state
3442f8959a84dea7ee197c632cb2df15,3442f895,campinas,SP
d1b65fc7debc3361ea86b5f14c68d2e2,d1b65fc7,mogi guacu,SP
ce3ad9de960102d0677a81f5d0bb7b2d,ce3ad9de,rio de janeiro,RJ
c0f3eea2e14555b6faeea3dd58c1b1c3,c0f3eea2,sao paulo,SP
51a04a8a6bdcb23deccc82b0b80742cf,51a04a8a,braganca paulista,SP
c240c4061717ac1806ae6ee72be3533b,c240c406,rio de janeiro,RJ
e49c26c3edfa46d227d5121a6b6e4d37,e49c26c3,brejao,PE
1b938a7ec6ac5061a66a3766e0e75f90,1b938a7e,penapolis,SP
768a86e36ad6aae3d03ee3c6433d61df,768a86e3,sao paulo,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,ccc4bbb5,curitiba,PR
8cb7c5ddf41f4d506eba76e9a4702a25,8cb7c5dd,anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,a7a9b880,itirapina,SP
8bd0f31cf0a614c658f6763bd02dea69,8bd0f31c,sao paulo,SP
05a48cc8859962767935ab9087417fbb,05a48cc8,sao paulo,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,7b8e8ec3,tubarao,SC
1444c08e64d55fb3c25f0f09c07ffcf2,1444c08e,lauro de freitas,BA
166e8f1381e09651983c38b1f6f91c11,166e8f13,imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,e38db885,brasilia,DF
d2e753bb80b7d4faa77483ed00edc8ca,d2e753bb,porto seguro,BA
f9ec7093df3a7b346b7bcf7864069ca3,f9ec7093,sao paulo,SP
4e6015589b781adaa5ce7f1892d06bb1,4e601558,guaruja,SP
4cf490a58259286ada5ba8525ba9e84a,4cf490a5,tabatinga,SP
f7496d659ca9fdaf323c0aae84176632,f7496d65,sao paulo,SP
2ff97219cb8622eaf3cd89b7d9c09824,2ff97219,salto,SP
8bd0e3abda539b9479c4b44a691be1ec,8bd0e3ab,tres de maio,RS
2a1348e9addc1af5aaa619b1a3679d6b,2a1348e9,belo horizonte,MG
2078fe5066350e7d220c0ad3a3bbc6c1,2078fe50,arapongas,PR
116ccb1a1604bc88e4d234a8c23f33de,116ccb1a,sao bernardo do campo,SP
430315b7bb4b6e4b3c978f9dfa9b0558,430315b7,sao paulo,SP
406822777a0b9eb5c50e442dd4cd3ec5,40682277,tatui,SP
4dbd95a08b31ede5c82d3f861cb1ce1a,4dbd95a0,curitiba,PR
e9e446d01bd10a97a8ffcfc4a3a20cb2,e9e446d0,sao paulo,SP
d52cbce9845184537284a23c3bc3da0e,d52cbce9,garopaba,SC
d9a84e1403de8da0c3aa531d6d108ba6,d9a84e14,sao paulo,SP
9c690ceacd5c66731bf443ea810195cb,9c690cea,camanducaia,MG
1f9ab4708f3056ede07124aad39a2554,1f9ab470,tupa,SP
1961c3e1272bfeceb05d0b78b5bbfdaf,1961c3e1,guarulhos,SP
d3e7d37c0df9aef383f3f2a15b0dddfb,d3e7d37c,sao jose dos pinhais,PR
ec2e006556300a79a5a91e4876ab3a56,ec2e0065,sao paulo,SP
b2a6d334e2833acea353624840e25a0e,b2a6d334,sao paulo,SP
d3674f271c91f824f82d24d92011f669,d3674f27,brasilia,DF
768de2a4fc06aacecb9a586ccc30746a,768de2a4,brasilia,DF
a81466620e46a6970b22ef40379fdfc9,a8146662,sao ludgero,SC
5c030029b5916fed0986310385ec9009,5c030029,sao jose,SC
c0f783394e37cd9c9d7f5f81141450fa,c0f78339,piracicaba,SP
c353f8fc0ce8344999f17d578eb69a5e,c353f8fc,porto alegre,RS
8444e55c1f13cd5c179851e5ca5ebd00,8444e55c,congonhal,MG
28a26ebce31d5918b181ede016fd693b,28a26ebc,belo horizonte,MG
41ab63a91b8b264e8c8780368bf1dd5b,41ab63a9,belo horizonte,MG
8759e7aedd644f487315e5860962f162,8759e7ae,santo andre,SP
e546117ed9cafbc40239c0c78635c584,e546117e,sao paulo,SP
d71d863e5ef30d94e440c11be17dcd8f,d71d863e,osasco,SP
0c7533c71df861ec58ad7ff999ed0e8d,0c7533c7,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,ef990a83,joinville,SC
41e0fa5761c886a630994a55c12087e7,41e0fa57,guaruja,SP
0747d5bb69f0586cc869d8af4c50f93e,0747d5bb,saquarema,RJ
7d294cf9a6a69dc6a0c3e540fff0e039,7d294cf9,barra velha,SC
c89cf7c468a48af70aada384e722f9e2,c89cf7c4,petropolis,RJ
b7ba853e9551f4558440881fd3e5c815,b7ba853e,santo antonio da patrulha,RS
13c2ed7698b3ca92dad49e849219da59,13c2ed76,ponta grossa,PR
cbbd5ae8f53de5f5097cd8217b529e24,cbbd5ae8,santana de parnaiba,SP
02ecc2a19303f05e59ce133fd923fff7,02ecc2a1,santo andre,SP
c013e57c075a06e5b5c48ee03c525719,c013e57c,sao carlos,SP
55f7a3319d80f7fdf078b8f03e6725fe,55f7a331,osasco,SP
2d50d6282f8aa2257819a77bfaa0efe0,2d50d628,ibitinga,SP
b7e1750c1157341d2abd0251e07c186b,b7e1750c,sao paulo,SP
b90e891671cffd9557f33a97dc523645,b90e8916,sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,a416b6a8,sao paulo,SP
7e93a43ef30c4f03f38b393420bc753a,7e93a43e,barueri,SP
5206cc4bc2297c833e6061c49bf9c43f,5206cc4b,osasco,SP
f410c8873029fcc3809b9df6d0b28914,f410c887,caxias do sul,SP
ef506c96320abeedfb894c34db06f478,ef506c96,sao paulo,SP
a13aaf2d2886ab9fb30fb9a920160b8f,a13aaf2d,joinville,SC
7299e27ed73d2ad986de7f7c77d919fa,7299e27e,araguari,MG
8a9260f2b0340411d6d2a56bcf4f7378,8a9260f2,contagem,MG
dedcab67899479e4ea5dcc4eba47f587,dedcab67,jaragua do sul,SC
b2479f944e1b90cf8a5de1bbfde284d6,b2479f94,ibitinga,SP
7722b1df1b0e383e000397b2c11e3e19,7722b1df,sao bernardo do campo,SP
731ef20c231d9a7103a425e83fd91271,731ef20c,lages - sc,SC
78813699ffac347fe27dba345a5f1551,78813699,bento goncalves,RS
3296662b1331dea51e744505065ae889,3296662b,catanduva,SP
411f3b52d857390502ee4e4d5ceabc2d,411f3b52,ribeirao pires,SP
bba3293d6f5d5af2f415e004e8b93ae3,bba3293d,sao paulo,SP
4e7c18b98d84e05cbae3ff0ff03846c2,4e7c18b9,jaboticabal,SP
b56906f7fd1696e043f1bcce164c487b,b56906f7,echapora,SP
d650b663c3b5f6fb392b6326366efa9a,d650b663,cotia,SP
669ae81880e08f269a64487cfb287169,669ae818,rio do sul,SC
c2d70ce2c5d0a2eb75e78668236e6dc8,c2d70ce2,sao paulo,SP
674207551483fec113276b67b0d871ff,67420755,sorocaba,SP
abe42c5d03695b4257b5c6cbf4e6784e,abe42c5d,rio de janeiro,RJ
1996942dc085d7773ba77a529b163cd0,1996942d,pradopolis,SP
79b93a308a97792cf53ac75f46da00b5,79b93a30,rio de janeiro,RJ
7cf4ea70955b00d6b3c22542598e2715,7cf4ea70,sao paulo,SP
63ffcb71394dd8ea3872ed9ffda17c74,63ffcb71,itaborai,RJ
83353a83fd769dfafa4f21a72b15e3e5,83353a83,sao paulo,SP
cda598c48d7c614bc1cad7d8ff6f0010,cda598c4,mirassol,SP
d4910f1cdcfdabd48d6b316e395d4a23,d4910f1c,santo andre,SP
709e16e2b25c7474d980076c6bfc4806,709e16e2,birigui,SP
9dc79dd988ac42f4d56c340d7048420a,9dc79dd9,sao paulo,SP
276677b5d08786d5dce7c2149dcce48b,276677b5,belo horizonte,MG
9c4d31c7e46ab03a43fc06e3142afd4e,9c4d31c7,rio de janeiro,RJ
512d298ac2a96d1931b6bd30aa21f61d,512d298a,rio de janeiro,RJ
422be4cc81a457fdb46f47edeb968ae5,422be4cc,ibitinga,SP
99cd94252748d2bdde08e17858233602,99cd9425,sao paulo,SP
698624c6632eeba1774924dbea24c700,698624c6,sao paulo,SP
8bb48dc19fccaa8613b6229bf7f452a2,8bb48dc1,assis,SP
ad87df7699e83b8a91822a4a0b765c3a,ad87df76,jaguariuna,SP
d6b664fa0667064c6d76394e7848d790,d6b664fa,araraquara,SP
98f52e1020fe788c10c0418de4393fec,98f52e10,macae,RJ
62760d278921b5f352461620d68a9cee,62760d27,salto,SP
eb72802c83dc7547529c9546d1a9b8ef,eb72802c,rio claro,SP
3f9be91358837bff69df67edfa3e42e8,3f9be913,londrina,PR
1d4587203296c8f4ad134dc286fa6db0,1d458720,sao paulo,SP
791cfcfe22fe4a771ece27f90017da92,791cfcfe,ribeirao preto,SP
392f7f2c797e4dc077e4311bde2ab8ce,392f7f2c,rio de janeiro,RN
0c8380b62e38e8a1e6adbeba7eb9688c,0c8380b6,tres coracoes,MG
37be5a7c751166fbc5f8ccba4119e043,37be5a7c,sao paulo,SP
87d73636a3acf123e842bb890a4db036,87d73636,nhandeara,SP
3d3ccf2b2f8134b10dce9dd446f0e075,3d3ccf2b,ibitinga,SP
e24d3429d294b2eb200b064ebb035879,e24d3429,sao paulo,SP
44073f8b7e41514de3b7815dd0237f4f,44073f8b,brasilia,DF
05ca864204d09595ae591b93ea9cf93d,05ca8642,barueri,SP
9d39404483343dd55c7ae254494d8388,9d394044,sao paulo,SP
f9eda05b67bef472deaddbba84aca289,f9eda05b,orleans,SC
75745ef7bc7d4f3ea3380f6f5303f514,75745ef7,brasilia,DF
0692610d8abe24f287e9fae90ea0bbee,0692610d,sao paulo,SP
7b07b3c7487f0ea825fc6df75abd658b,7b07b3c7,sao paulo,SP
99002261c568a84cce14d43fcffb43ea,99002261,cuiaba,MT
e5899683388855d3dabe8913bbe365de,e5899683,sao carlos,SP
784ba75dd9d20200c4caed3d7a77141a,784ba75d,sao paulo,SP
099095b050cfe8eb1ddff5317587e96e,099095b0,sao paulo,SP
0ad80de75c811326389cfb1daba7d45e,0ad80de7,rio de janeiro,RJ
b9a03475e6447e631b6799ec8274800f,b9a03475,formosa do oeste,PR
ba6b4a237f92479743cf0ca06b67a9ac,ba6b4a23,rio de janeiro,RJ
ea00f977a203ff88adf7057cb7806998,ea00f977,santos,SP
82e0a475a88cc9595229d8029273f045,82e0a475,sao paulo,SP
ad75519a07f039025e83795a4418470f,ad75519a,santa terezinha de goias,GO
34aefe746cd81b7f3b23253ea28bef39,34aefe74,curitiba,PR
ed4acab38528488b65a9a9c603ff024a,ed4acab3,sao paulo,SP
f0837c8d71434931d9e38e7b79234797,f0837c8d,arvorezinha,RS
fce62094ffe6a4009188ec44e681dfdd,fce62094,sao paulo,SP
ebef8d8c92b4fd3226e5d407bbff21ac,ebef8d8c,ribeirao preto,SP
d73cbd89533ce8b041a9190241453ac8,d73cbd89,guiricema,MG
75a4764c108403a7a0575140cb22287c,75a4764c,caxias do sul,RS
70c0fda4c313d87115644d39e62eec60,70c0fda4,caruaru,PE
ffcfefa19b08742c5d315f2791395ee5,ffcfefa1,curitiba,PR
26e13b6ff5b641b329e5524241ee2c93,26e13b6f,franca,SP
0ade5cc4a305ed7093a23f68ca47519c,0ade5cc4,curitiba,PR
fc59392d66ef99377e50356ee4f3b4e1,fc59392d,salvador,BA
b18dc380845b24038cfc48006478f099,b18dc380,diadema,SP
f22a247b79dd22ecd91dc8e3b2a1b07c,f22a247b,itaquaquecetuba,SP
889009a0ed0bb52c87819941192931b8,889009a0,lencois paulista,SP
ffc470761de7d0232558ba5e786e57b7,ffc47076,guarulhos,SP
4c498c7345e89aebad651544829beca0,4c498c73,carapicuiba,SP
01bcc9d254a0143f0ce9791b960b2a47,01bcc9d2,uruacu,GO
f021c962aaba8ef6eb527a9c2c8394d1,f021c962,itajai,SC
024b564ae893ce8e9bfa02c10a401ece,024b564a,sao paulo,SP
a513150f33f99a06569e9cd5c4bb889b,a513150f,sao paulo,SP
c1dde11f12d05c478f5de2d7319ad3b2,c1dde11f,sao paulo,SP
02f5837340d7eb4f653d676c7256523a,02f58373,curitiba,PR
7b98de631987e26dd6d803490c43a13c,7b98de63,loanda,PR
f12ff17ad8bbf01ec5c33b17e506649b,f12ff17a,sao paulo,SP
a64e44665225d19dfc0277eeeaaccc57,a64e4466,sao paulo,SP
6a8a889bde935bafa76d7848782dfaf9,6a8a889b,sao paulo,SP
42b6488f5b8246d9141712abd4b1b693,42b6488f,maringa,PR
d6cd01c59123df02fc226eadbadb5f89,d6cd01c5,sao paulo,SP
c8e135e7b21ecbc36c1153a29d2f5a06,c8e135e7,sao paulo,SP
229c3efbfb0ea2058de4ccdfbc3d784a,229c3efb,belo horizonte,MG
f9a02f1922d1de564392e656d82b3fda,f9a02f19,ferraz de vasconcelos,SP
9523fb39dd240aa958e040f8183d64f3,9523fb39,sao paulo,SP
95ec4458365c4d11f452ccf538377619,95ec4458,limeira,SP
6ec1a01e866584bb679eb9b098345919,6ec1a01e,santos,SP
f6122bc84774df1b372bdb3bb88ddb9f,f6122bc8,barueri,SP
fa40cc5b934574b62717c68f3d678b6d,fa40cc5b,sao paulo,SP
623ad9d0c1e14bb5464a8c72bff7b4af,623ad9d0,claudio,MG
c0098efcf800861dcae589affca31408,c0098efc,ribeirao preto,SP
a63bfbaa882c8f4542891b4e2246cc7f,a63bfbaa,niteroi,RJ
48b6c3f4c6a93171da04b75313f2130f,48b6c3f4,osvaldo cruz,SP
270d3ef21830ad0ecf3a6c53d08a533a,270d3ef2,carapicuiba,SP
89c127985a8b130cfa45c1d36764017a,89c12798,osasco,SP
8b2492b7ff4468839593fafeed55bad9,8b2492b7,sao goncalo,RJ
1e9d5a33694bddb76316fd1f54734d20,1e9d5a33,jaciara,MT
5e49e3a44bdeb5aab2684258bbd4f525,5e49e3a4,balenario camboriu,SC
8e34331b7eedd03be4e5d965c1956225,8e34331b,sao paulo,SP
aaed1309374718fdd995ee4c58c9dfcd,aaed1309,timbo,SC
11d4c477d09821164bca4f70a2eae031,11d4c477,ribeirao preto,SP
ff314fa6033cc68ec451c47aee2d6ba4,ff314fa6,sao paulo,SP
d1c7fa84e48cfa21a0e595167c1c500e,d1c7fa84,jacutinga,RS
c7246702dc991a06d788120dc7544391,c7246702,fortaleza,CE
e819bcfade7b5d88a27325eb6cfd62c5,e819bcfa,guarulhos,SP
