product_id,sku,category,unit_cost,unit_price
1e9e8ef04dbcff4541ed26657ea517e5,1e9e8ef0,perfumery,7.64,10.91
3aa071139cb16b67ca9e5dea641aaa2f,3aa07113,art,173.6,248.0
96bd76ec8810374ed1b65e291975717f,96bd76ec,sports_leisure,55.86,79.8
cef67bcfe19066a932b7673e239eb23d,cef67bcf,baby,78.61,112.3
9dc1a7de274444849c219cff195d0b71,9dc1a7de,housewares,26.53,37.9
41d3672d4792049fa1779bb35283ed13,41d3672d,musical_instruments,32.11,45.87
732bd381ad09e530fe0a5f457d81becb,732bd381,cool_stuff,674.1,963.0
2548af3e6e77a690cf3eb6368e9ab61e,2548af3e,furniture_decor,6.99,9.99
37cc742be07708b53a98702e77a21a02,37cc742b,home_appliances,7.28,10.4
8c92109888e8cdf9d66dc7e463025574,8c921098,toys,58.03,82.9
14aa47b7fe5c25522b47b4b29c98dcb9,14aa47b7,bed_bath_table,50.39,71.99
03b63c5fc16691530586ae020c345514,03b63c5f,baby,167.3,239.0
cf55509ea8edaaac1d28fdb16e48fc22,cf55509e,musical_instruments,145.07,207.25
7bb6f29c2be57716194f96496660c7c2,7bb6f29c,furniture_decor,41.93,59.9
eb31436580a610f202c859463d8c7415,eb314365,construction_tools_safety,158.33,226.18
3bb7f144022e6732727d8d838a7b13b3,3bb7f144,sports_leisure,18.69,26.7
6a2fb4dd53d2cdb88e0432f1284a004c,6a2fb4dd,perfumery,11.83,16.9
a1b71017a84f92fd8da4aeefba108a24,a1b71017,computers_accessories,48.93,69.9
a0736b92e52f6cead290e30b578413b6,a0736b92,furniture_decor,34.79,49.7
f53103a77d9cf245e579ea37e5ec51f0,f53103a7,bed_bath_table,29.39,41.99
1c1890ba1779090cd54008a3c3302921,1c1890ba,furniture_decor,78.33,111.9
518ef5de2c2b3a255e326a4594ba15d9,518ef5de,bed_bath_table,101.5,145.0
e3e020af31d4d89d2602272b315c3f6e,e3e020af,health_beauty,20.93,29.9
8b41fbc2b984a12030090112324d1bc4,8b41fbc2,baby,34.23,48.9
d03bd02af9fff4b98f1c972315e5e9ef,d03bd02a,furniture_decor,55.93,79.9
8ba4f2a4ae695d26e5626c1bf710975e,8ba4f2a4,housewares,48.93,69.9
f6574524b07d5bb753bab6f35abe2d06,f6574524,luggage_accessories,244.93,349.9
c78b767da00efb70c1bcccab87c28cd5,c78b767d,computers_accessories,27.23,38.9
a0253d43394dd4da9a5d7b1f546f1a32,a0253d43,computers_accessories,145.6,208.0
051b9ff13dd55c0a6655a15ff296f80d,051b9ff1,sports_leisure,199.5,285.0
47859fca9dd7485cbd93c3e8993bb74f,47859fca,bed_bath_table,29.39,41.99
e1d1d22e9f8122a4ec1533b032c12562,e1d1d22e,garden_tools,139.3,199.0
20e37962088a4061d3578def47a8648b,20e37962,furniture_decor,45.43,64.9
1eba879220bd0981a0e2fbab499ed4e1,1eba8792,office_furniture,55.99,79.99
ce5b91848b91118daffb3af53b747475,ce5b9184,sports_leisure,13.93,19.9
5370b82a213393979691c98074265584,5370b82a,baby,72.36,103.37
b8dac5113b06a97e64943234522572b9,b8dac511,auto,80.5,115.0
750cf819d127191920eda79a4b6fb479,750cf819,electronics,16.8,24.0
e6af694343b45b56304ad91974a110b9,e6af6943,housewares,55.99,79.99
680874c570dad71c0a2844cfbf417054,680874c5,furniture_decor,27.3,39.0
8b3a9476f74f5297f7ff0ec6d95fe1ea,8b3a9476,furniture_decor,97.93,139.9
1c6fb703c624b381a20f21f757694866,1c6fb703,toys,68.0,97.14
db46052aed7dff59ba38cf2fe29b87f9,db46052a,bed_bath_table,75.32,107.6
b864b103180d5a6a3f830e67f93e8735,b864b103,baby,58.73,83.9
7a8dac4aaa16bc642e4df33adcf03303,7a8dac4a,cool_stuff,328.99,469.99
83b9bc6aae6f527ff6aafb9e01d6cbf3,83b9bc6a,toys,90.99,129.99
5f504b3a1c75b73d6151be81eb05bdc9,5f504b3a,cool_stuff,427.0,610.0
